expediente,noticia,nombre_archivo,url_origen,sitio_origen,autor_fotografo,licencia,fecha_descarga,atribucion_requerida,observaciones
19669,2026-03-11-asistencia-trabajadores-al-goya,2026-03-11-19669-asistencia-trabajadores-alal.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial propia sobre trabajo e industria textil.
19675,2026-03-11-cinco-proyectos-corrientes,2026-03-11-19675-escuelas-rurales-goya.webp,https://commons.wikimedia.org/wiki/File:Escuela_Rural_Jujuy.jpg,Wikimedia Commons,Cacedi1,CC BY-SA 4.0,2026-07-29,Sí,Escuela rural argentina usada de manera ilustrativa; no corresponde a Goya.
19680,2026-03-11-seguridad-ruta-27,2026-03-11-19680-seguridad-ruta-27.webp,https://commons.wikimedia.org/wiki/File:Ruta_60_Argentina.jpg,Wikimedia Commons,Lucash,CC BY-SA 3.0,2026-07-29,Sí,Ruta argentina usada de manera ilustrativa; no corresponde a la Ruta Provincial 27.
19670,2026-03-11-alivio-corrientes,2026-03-11-19670-alivio-corrientes.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial propia con documentos y calculadora estilizados.
19714,2026-03-18-cobertura-ioscor-identidad-genero,2026-03-18-19714-cobertura-identidad-genero.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial propia sobre atención sanitaria inclusiva.
19715,2026-03-14-proyectos-ley-deudores-ioscor,2026-03-18-19715-deudores-alimentarios-casinos.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (casino).
19720,2026-03-18-informe-salud-sexual-reproductiva,2026-03-18-19720-informe-salud-sexual.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (health_report).
19753,2026-03-22-reclamo-docente-haberes-dialogo,2026-04-08-19753-dialogo-docente.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (teacher_dialogue).
19786,2026-04-08-informe-aportes-tesoro-nacional,2026-04-08-19786-informe-atn.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (public_funds).
19787,2026-04-08-informe-banco-corrientes,2026-04-08-19787-banco-corrientes.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (bank).
19788,2026-04-07-proteccion-salarial-y-apid,2026-04-08-19788-proteccion-salario.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (salary).
19789,2026-04-08-incentivo-docente-provincial,2026-04-08-19789-incentivo-docente.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (teacher_pay).
19793,2026-04-08-antecedentes-meritorios-docentes,2026-04-08-19793-valoracion-docente.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (teacher_merit).
19831,2026-04-15-lotes-servicios-goya,2026-04-15-19831-lotes-servicios-goya.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (housing).
19832,2026-04-15-transparencia-carteles-obra-publica,2026-04-15-19832-carteles-obra-publica.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (public_works).
19833,2026-04-15-estudio-ruta-27-unne,2026-04-15-19833-estudio-seguridad-ruta-27.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (road_study).
19834,2026-04-15-proyecto-cultural-mendoza,2026-04-15-19834-proyecto-cultural-mendoza.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (culture).
19835,2026-04-15-homenaje-roque-zabala,2026-04-15-19835-homenaje-roque-zabala.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (malvinas).
19840,2026-04-15-informe-fondos-escuelas,2026-04-15-19840-fondos-infraestructura-escolar.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (school_funds).
19841,2026-04-13-reforma-integral-ioscor-proyecto-diputados,2026-04-15-19841-reforma-ioscor.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (health_reform).
19881,2026-04-29-fondos-bomberos-voluntarios,2026-04-29-19881-fondos-bomberos.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (firefighters).
19882,2026-04-29-homenaje-ernesto-walter-grosse,2026-04-29-19882-homenaje-ernesto-grosse.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (doctor_memorial).
19883,2026-04-29-protocolos-seguridad-escolar,2026-04-29-19883-protocolos-seguridad-escolar.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (school_safety).
19884,2026-04-29-seguridad-puente-paso-lopez,2026-04-29-19884-puente-paso-lopez.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (bridge).
19931,2026-05-06-deporte-inclusivo-adaptado,2026-05-06-19931-deporte-inclusivo.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (adaptive_sport).
19966,2026-05-13-alivio-electrico-productores,2026-05-13-19966-alivio-electrico-productores.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (agri_energy).
19967,2026-05-13-accesibilidad-palacio-legislativo,2026-05-13-19967-accesibilidad-legislatura.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (accessibility).
19972,2026-05-13-cobertura-sanitaria-rural,2026-05-13-19972-salud-rural.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (rural_health).
19981,2026-05-13-marcha-federal-universitaria,2026-05-13-19981-marcha-universitaria.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (university).
20017,2026-05-27-conectividad-digital-rural,2026-05-27-20017-conectividad-rural.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (connectivity).
20045,2026-06-03-caminos-rurales,2026-06-03-20045-caminos-rurales.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (rural_roads).
20046,2026-06-03-empleo-emprendimiento-joven,2026-06-03-20046-empleo-joven.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (young_work).
20051,2026-06-03-emergencia-alimentaria-escolar,2026-06-03-20051-emergencia-alimentaria-escolar.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (school_meals).
20074,2026-06-17-abogado-del-nino,2026-06-17-20074-abogado-del-nino.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (child_lawyer).
20075,2026-06-17-transparencia-ofertas-educativas,2026-06-17-20075-transparencia-ofertas-educativas.webp,Producción propia,Cecilia Gortari,Equipo editorial,Composición original para el sitio,2026-07-29,No,Composición editorial temática original (education_transparency).
